,NDM_B1_01,NDM_B1_02,NDM_B1_03,NDM_B1_04,NDM_B1_05,NDM_B2_06,NDM_B2_07,NDM_B2_08,NDM_B2_09,NDM_B2_10,DM_B1_11,DM_B1_12,DM_B1_13,DM_B1_14,DM_B1_15,DM_B2_16,DM_B2_17,DM_B2_18,DM_B2_19,DM_B2_20
NDM_B1_01,1.0,0.8603959060134799,0.8875987091995752,0.8820965297106925,0.8753789915473794,0.9021370212520728,0.9083486084860942,0.8996456076652775,0.9089284981522737,0.9005493165957826,0.8635252065152703,0.8737323044904881,0.870113975200779,0.8837648563535263,0.8842008810042756,0.8955551152172782,0.9066740641131331,0.9017167946317738,0.8982021829011546,0.9106369805587167
NDM_B1_02,0.8603959060134799,1.0,0.8726701073435617,0.8738281848828151,0.8655715698975424,0.8843913219683945,0.8964027928664999,0.8877765026152907,0.8926491339289915,0.889937138291964,0.8423002452675561,0.8761747769014078,0.848776575095115,0.860745071593327,0.8537742394284379,0.8871758617120666,0.8937381493714224,0.8915000465917271,0.8895410113309362,0.8939996911007086
NDM_B1_03,0.8875987091995752,0.8726701073435617,1.0,0.8866317768388927,0.8882348629198987,0.907350191080048,0.9153481819385141,0.902219016403283,0.9050954780721084,0.8922272581280752,0.8700377671598634,0.8707871656088115,0.8602269615432336,0.8683643100944914,0.8691515057929982,0.8986651186572328,0.9064763085631357,0.9087749515268406,0.8868929486159153,0.9018644532580099
NDM_B1_04,0.8820965297106925,0.8738281848828151,0.8866317768388927,1.0,0.8800729826591933,0.8997285427525156,0.9037129770955706,0.9049341123220793,0.902063989224338,0.8900572823253631,0.8555365850371278,0.8650826421150434,0.8552784843503817,0.8599631114325754,0.8695701004023358,0.8882738137891932,0.9071388410519844,0.8947446180510567,0.8908602050954825,0.8952603881041563
NDM_B1_05,0.8753789915473794,0.8655715698975424,0.8882348629198987,0.8800729826591933,1.0,0.8992427270928202,0.9068986816013324,0.8984982481873541,0.8972580364563812,0.8900126648616395,0.8726562173117607,0.8706756236592006,0.8640585395919494,0.8654484744854423,0.8648267984748115,0.8971078020585835,0.9100960635314588,0.9010715601622621,0.8946661171940237,0.9017043155564569
NDM_B2_06,0.9021370212520728,0.8843913219683945,0.907350191080048,0.8997285427525156,0.8992427270928202,1.0,0.8997554514107476,0.8948955228038167,0.9047938802097224,0.8923282355806991,0.8914454132918775,0.8884375602192883,0.8840068407976863,0.8811205171801064,0.8937071575548008,0.8901520587104419,0.9030435871896951,0.900999842553235,0.8961241416538905,0.8980807138485111
NDM_B2_07,0.9083486084860942,0.8964027928664999,0.9153481819385141,0.9037129770955706,0.9068986816013324,0.8997554514107476,1.0,0.8946184561353215,0.906285783611896,0.8977140858558453,0.8848226419472932,0.8963567099859995,0.8880129850673655,0.9022552455110996,0.8930548811848413,0.9103467465305226,0.9168122313322089,0.9181013195588446,0.8937897074087573,0.9086708305206751
NDM_B2_08,0.8996456076652775,0.8877765026152907,0.902219016403283,0.9049341123220793,0.8984982481873541,0.8948955228038167,0.8946184561353215,1.0,0.8944413288479475,0.8927065528093663,0.8835458218593091,0.890520620270812,0.8759438049209501,0.8841399398608439,0.8879721532226957,0.8880265265670425,0.9066034676385392,0.895606453950272,0.8998420483362934,0.8991575673453286
NDM_B2_09,0.9089284981522737,0.8926491339289915,0.9050954780721084,0.902063989224338,0.8972580364563812,0.9047938802097224,0.906285783611896,0.8944413288479475,1.0,0.9114545165196182,0.8778520907226146,0.8864762396278452,0.891572973703375,0.8914022863594492,0.9026529494829019,0.8931898688700616,0.9005683034784125,0.897467712886856,0.8960676311539072,0.9043615898693209
NDM_B2_10,0.9005493165957826,0.889937138291964,0.8922272581280752,0.8900572823253631,0.8900126648616395,0.8923282355806991,0.8977140858558453,0.8927065528093663,0.9114545165196182,1.0,0.8873357568690186,0.8816914975993929,0.8846235968724904,0.9031002631565496,0.909697064346254,0.8912344850968108,0.9046307959266096,0.888090961102427,0.9046369987835012,0.9020584601171131
DM_B1_11,0.8635252065152703,0.8423002452675561,0.8700377671598634,0.8555365850371278,0.8726562173117607,0.8914454132918775,0.8848226419472932,0.8835458218593091,0.8778520907226146,0.8873357568690186,1.0,0.864289841475474,0.8658349326566631,0.8868377916025129,0.8786948979125231,0.9000878098618005,0.9099704037671084,0.9013749840742327,0.9053858141519194,0.9063659238205823
DM_B1_12,0.8737323044904881,0.8761747769014078,0.8707871656088115,0.8650826421150434,0.8706756236592006,0.8884375602192883,0.8963567099859995,0.890520620270812,0.8864762396278452,0.8816914975993929,0.864289841475474,1.0,0.8732653979399175,0.8780889206568524,0.8644220527315226,0.9041496542724218,0.9061998371712645,0.9151773136311366,0.9079188550537809,0.9083437500492858
DM_B1_13,0.870113975200779,0.848776575095115,0.8602269615432336,0.8552784843503817,0.8640585395919494,0.8840068407976863,0.8880129850673655,0.8759438049209501,0.891572973703375,0.8846235968724904,0.8658349326566631,0.8732653979399175,1.0,0.8668110176165634,0.8727561074860175,0.8977789650947198,0.9039604897094624,0.8981288056315174,0.893458929454517,0.9027095109245608
DM_B1_14,0.8837648563535263,0.860745071593327,0.8683643100944914,0.8599631114325754,0.8654484744854423,0.8811205171801064,0.9022552455110996,0.8841399398608439,0.8914022863594492,0.9031002631565496,0.8868377916025129,0.8780889206568524,0.8668110176165634,1.0,0.8867305404698196,0.9142628849265376,0.9089364326223959,0.9021229223447422,0.9056066429600031,0.9149232657694968
DM_B1_15,0.8842008810042756,0.8537742394284379,0.8691515057929982,0.8695701004023358,0.8648267984748115,0.8937071575548008,0.8930548811848413,0.8879721532226957,0.9026529494829019,0.909697064346254,0.8786948979125231,0.8644220527315226,0.8727561074860175,0.8867305404698196,1.0,0.8954131297705774,0.9056046796229789,0.8918730527868446,0.9050992817303685,0.9058190410349023
DM_B2_16,0.8955551152172782,0.8871758617120666,0.8986651186572328,0.8882738137891932,0.8971078020585835,0.8901520587104419,0.9103467465305226,0.8880265265670425,0.8931898688700616,0.8912344850968108,0.9000878098618005,0.9041496542724218,0.8977789650947198,0.9142628849265376,0.8954131297705774,1.0,0.9130875739425313,0.913331560019831,0.9036928990100219,0.9265181200793564
DM_B2_17,0.9066740641131331,0.8937381493714224,0.9064763085631357,0.9071388410519844,0.9100960635314588,0.9030435871896951,0.9168122313322089,0.9066034676385392,0.9005683034784125,0.9046307959266096,0.9099704037671084,0.9061998371712645,0.9039604897094624,0.9089364326223959,0.9056046796229789,0.9130875739425313,1.0,0.9236299597475831,0.9188088638030295,0.9241078147031961
DM_B2_18,0.9017167946317738,0.8915000465917271,0.9087749515268406,0.8947446180510567,0.9010715601622621,0.900999842553235,0.9181013195588446,0.895606453950272,0.897467712886856,0.888090961102427,0.9013749840742327,0.9151773136311366,0.8981288056315174,0.9021229223447422,0.8918730527868446,0.913331560019831,0.9236299597475831,1.0,0.9029552499003841,0.9178072846631697
DM_B2_19,0.8982021829011546,0.8895410113309362,0.8868929486159153,0.8908602050954825,0.8946661171940237,0.8961241416538905,0.8937897074087573,0.8998420483362934,0.8960676311539072,0.9046369987835012,0.9053858141519194,0.9079188550537809,0.893458929454517,0.9056066429600031,0.9050992817303685,0.9036928990100219,0.9188088638030295,0.9029552499003841,1.0,0.913574589670858
DM_B2_20,0.9106369805587167,0.8939996911007086,0.9018644532580099,0.8952603881041563,0.9017043155564569,0.8980807138485111,0.9086708305206751,0.8991575673453286,0.9043615898693209,0.9020584601171131,0.9063659238205823,0.9083437500492858,0.9027095109245608,0.9149232657694968,0.9058190410349023,0.9265181200793564,0.9241078147031961,0.9178072846631697,0.913574589670858,1.0
